lon,lat,dist,cdist
10.775911,34.721484,0,0
10.768142,34.722632,722.9138091994536,722.9138091994536
10.763346,34.7267966,637.5047379599288,1360.4185471593823
10.763346,34.7267966,0,1360.4185471593823
10.7629089,34.727194,59.550732154988616,1419.9692793143709
10.7636745,34.7278348,99.85193017622353,1519.8212094905946
10.7648861,34.7287741,152.22404066395393,1672.0452501545485
10.7649664,34.7289125,17.024068182560583,1689.069318337109
10.7650944,34.7290264,17.236384031307047,1706.305702368416
10.7666978,34.7302343,198.7990676442975,1905.1047700127135
10.7669533,34.7304386,32.576708667055925,1937.6814786797695
10.7673683,34.7307567,51.8644501138866,1989.545928793656
10.768636,34.7317717,161.73626626926404,2151.28219506292
10.7687046,34.7318314,9.128800746015287,2160.4109958089352
10.7687749,34.7319136,11.162788202950143,2171.5737840118854
10.768837,34.7320647,17.700963801033005,2189.2747478129186
10.7688733,34.732148,9.820767292329823,2199.0955151052485
10.768904,34.732229,9.415401349563568,2208.510916454812
10.7689498,34.7323142,10.340668888867445,2218.8515853436793
10.7689315,34.73235,4.310655628272557,2223.162240971952
10.768913,34.732378,3.5382431402594468,2226.7004841122116
10.7688775,34.7324101,4.821988112757831,2231.522472224969
10.7688357,34.7324311,4.4813589141113654,2236.0038311390804
10.7687888,34.7324451,4.567467845951308,2240.5712989850317
10.7687006,34.7324577,8.197782591022568,2248.7690815760543
10.7685993,34.7324109,10.631394729016046,2259.4004763050707
10.7686008,34.7324529,4.661323504087295,2264.061799809158
10.7685923,34.7324902,4.2104910562733,2268.272290865431
10.7685679,34.7325384,5.795270824339747,2274.0675616897706
10.768429,34.7326914,21.211150768440728,2295.2787124582114
10.7677687,34.7332708,88.25176479014577,2383.5304772483573
10.7670523,34.7338793,94.13568778731597,2477.666165035673
10.7665146,34.7343503,71.79902057171321,2549.4651856073865
10.7662948,34.7345379,28.953877465398175,2578.419063072785
10.7659313,34.7348193,45.63710118127188,2624.0561642540565
10.7651968,34.7354457,96.71433509982022,2720.770499353877
10.7647564,34.7358313,58.7923588209411,2779.562858174818
10.7646245,34.7361986,42.49949147794693,2822.0623496527646
10.7639148,34.7385753,271.55351105157723,3093.615860704342
10.7637776,34.7389774,46.34300673840337,3139.9588674427455
10.7636407,34.7394057,49.13995309309478,3189.0988205358403
10.7636315,34.7395905,20.518242587491848,3209.617063123332
10.7636182,34.7396985,12.042816624415709,3221.6598797477477
10.763622,34.7397961,10.83292649160449,3232.4928062393524
10.7636326,34.7399383,15.80491114040558,3248.297717379758
10.763638,34.7400739,15.051023349490341,3263.348740729248
10.7636516,34.7401601,9.6434288275625,3272.9921695568105
10.7636861,34.7403286,18.9577980194817,3291.9499675762922
10.7636934,34.7403569,3.2098682493187685,3295.159835825611
10.7637141,34.7404404,9.455112167357944,3304.614947992969
10.7637556,34.7406209,20.381367855198484,3324.996315848168
10.7637748,34.7407144,10.520465322413301,3335.516781170581
10.7638932,34.7412632,61.83952587672841,3397.356307047309
10.763932,34.741436,19.496214910421607,3416.852521957731
10.7639505,34.7415266,10.19256584287203,3427.045087800603
10.7641193,34.7415279,15.458414346175699,3442.503502146779
10.7641556,34.7415422,3.683281333941055,3446.18678348072
10.7643217,34.7416207,17.52701013593337,3463.713793616653
10.7649026,34.7421284,77.47206848017755,3541.1858620968305
10.7654822,34.7425952,74.15339656738075,3615.3392586642112
10.7663313,34.7432515,106.52061655768357,3721.859875221895
10.7670484,34.7438479,93.21747998224225,3815.0773552041373
10.7676821,34.7443603,81.23136597423367,3896.308721178371
10.7681503,34.7447372,59.88623390183588,3956.194955080207
10.7686855,34.7451658,68.28299189987547,4024.4779469800824
10.7687732,34.745233,10.957543143914428,4035.4354901239967
10.76916,34.745531,48.45015471978717,4083.8856448437837
10.7700441,34.7462387,112.77272725192441,4196.658372095708
10.7702006,34.746367,20.19765669635491,4216.856028792063
10.7703586,34.7464965,20.3889060780462,4237.244934870109
10.7710929,34.7471026,95.08960727263153,4332.334542142741
10.7719294,34.7477917,108.21737456387208,4440.551916706613
10.7725046,34.7481989,69.38789731364648,4509.939814020259
10.7729613,34.7485632,58.15564217895845,4568.095456199218
10.7737468,34.7491873,99.83359219576208,4667.92904839498
10.7740732,34.7494577,42.34454984641994,4710.2735982414
10.7750855,34.750296,131.3021197005148,4841.575717941914
10.7763524,34.7513316,163.26426648579573,5004.83998442771
10.7764709,34.7514242,14.941758805407941,5019.7817432331185
10.7769233,34.7517593,55.658208866075576,5075.439952099194
10.7771002,34.7518952,22.12804733896613,5097.56799943816
10.778938,34.7533069,229.87372506444098,5327.441724502601
10.7790011,34.7533555,7.902397649453602,5335.344122152054
10.780869,34.754862,239.124701374172,5574.4688235262265
10.7810448,34.7550806,29.106343435844764,5603.575166962071
10.7810467,34.7550836,0.3755321495848438,5603.950699111656
10.7810258,34.7555621,53.1174046894432,5657.0681038011
10.7810955,34.75557,6.441545574282597,5663.509649375382
10.7829009,34.7557713,166.80168678931696,5830.311336164699
10.783301,34.7558178,36.99400135056151,5867.30533751526
10.7834732,34.7558463,16.08026180931151,5883.385599324572
10.7839211,34.7559203,41.82263588033787,5925.20823520491
10.7845157,34.7559225,54.44117965491267,5979.649414859822
10.7845202,34.7559158,0.8498281006673792,5980.49924296049
10.7845536,34.7558795,5.056506320414354,5985.555749280904
10.7845929,34.7558475,5.0546586714899435,5990.610407952394
10.7846374,34.7558204,5.063458319753914,5995.673866272148
10.784686,34.7557988,5.053919248007317,6000.7277855201555
10.784738,34.755783,5.073443015060114,6005.801228535215
